2021-02-28 12:20:11.251 febs [http-nio-9527-exec-6] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2021-02-28 12:20:11.306 febs [http-nio-9527-exec-6] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 44ms. Found 0 repository interfaces.
2021-02-28 13:00:42.156 febs [Thread-49] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2021-02-28 13:00:42.158 febs [Thread-49] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 1ms. Found 0 repository interfaces.
2021-02-28 13:00:42.185 febs [Thread-49] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
2021-02-28 13:00:42.223 febs [Thread-49] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'taskExecutor'
2021-02-28 13:00:42.230 febs [Thread-49] INFO  o.s.s.quartz.SchedulerFactoryBean - Shutting down Quartz Scheduler
2021-02-28 13:00:42.230 febs [Thread-49] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED shutting down.
2021-02-28 13:00:42.231 febs [Thread-49] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
2021-02-28 13:00:42.231 febs [Thread-49] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED shutdown complete.
2021-02-28 13:00:42.245 febs [Thread-49] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2021-02-28 13:00:42.249 febs [Thread-49] INFO  com.zaxxer.hikari.HikariDataSource - primary - Shutdown initiated...
2021-02-28 13:00:42.259 febs [Thread-49] INFO  com.zaxxer.hikari.HikariDataSource - primary - Shutdown completed.
2021-02-28 13:00:42.259 febs [Thread-49] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2021-02-28 13:11:06.160 febs [main] INFO  cc.mrbird.febs.FebsApplication - Starting FebsApplication on localhost with PID 10774 (started by apple in /Users/apple/workspace/个人工作室/订单管理/tb/backend)
2021-02-28 13:11:06.165 febs [main] INFO  cc.mrbird.febs.FebsApplication - No active profile set, falling back to default profiles: default
2021-02-28 13:11:08.125 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-02-28 13:11:08.132 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2021-02-28 13:15:49.559 febs [main] INFO  cc.mrbird.febs.FebsApplication - Starting FebsApplication on localhost with PID 10980 (started by apple in /Users/apple/workspace/个人工作室/订单管理/tb/backend)
2021-02-28 13:15:49.563 febs [main] INFO  cc.mrbird.febs.FebsApplication - No active profile set, falling back to default profiles: default
2021-02-28 13:15:51.278 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-02-28 13:15:51.282 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2021-02-28 13:15:51.397 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 78ms. Found 0 repository interfaces.
2021-02-28 13:15:52.318 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'asyncExecutorPoolConfig' of type [cc.mrbird.febs.common.config.AsyncExecutorPoolConfig$$EnhancerBySpringCGLIB$$75aaf60c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-02-28 13:15:52.598 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-02-28 13:15:52.786 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$4ffa41b0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-02-28 13:15:52.800 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-02-28 13:15:52.805 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dynamicDatasourceAnnotationAdvisor' of type [com.baomidou.dynamic.datasource.aop.DynamicDataSourceAnnotationAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-02-28 13:15:52.817 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$e66bd0df] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-02-28 13:15:52.857 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [cc.mrbird.febs.common.authentication.ShiroConfig$$EnhancerBySpringCGLIB$$51ebd288] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-02-28 13:15:52.947 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [cc.mrbird.febs.common.config.RedisConfig$$EnhancerBySpringCGLIB$$4ab089dc] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-02-28 13:15:52.980 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisPoolFactory' of type [redis.clients.jedis.JedisPool] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-02-28 13:15:52.986 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisService' of type [cc.mrbird.febs.common.service.impl.RedisServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
